DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPR_M(1.0),28/09/22 11:00:00,M,PROD,B-D,CA,I15,BE,2000-01,62.7,
ESTAT:STS_INPR_M(1.0),28/09/22 11:00:00,M,PROD,B-D,CA,I15,BE,2000-02,66.1,
ESTAT:STS_INPR_M(1.0),28/09/22 11:00:00,M,PROD,B-D,CA,I15,BE,2000-03,74.1,
ESTAT:STS_INPR_M(1.0),28/09/22 11:00:00,M,PROD,B-D,CA,I15,BE,2000-04,71.9,
ESTAT:STS_INPR_M(1.0),28/09/22 11:00:00,M,PROD,B-D,CA,I15,BE,2000-05,71.4,
ESTAT:STS_INPR_M(1.0),28/09/22 11:00:00,M,PROD,B-D,CA,I15,BE,2000-06,75.8,
ESTAT:STS_INPR_M(1.0),28/09/22 11:00:00,M,PROD,B-D,CA,I15,BE,2000-07,63.7,
ESTAT:STS_INPR_M(1.0),28/09/22 11:00:00,M,PROD,B-D,CA,I15,BE,2000-08,66.1,
ESTAT:STS_INPR_M(1.0),28/09/22 11:00:00,M,PROD,B-D,CA,I15,BE,2000-09,78.3,
ESTAT:STS_INPR_M(1.0),28/09/22 11:00:00,M,PROD,B-D,CA,I15,BE,2000-10,79.3,
ESTAT:STS_INPR_M(1.0),28/09/22 11:00:00,M,PROD,B-D,CA,I15,BE,2000-11,75.8,
ESTAT:STS_INPR_M(1.0),28/09/22 11:00:00,M,PROD,B-D,CA,I15,BE,2000-12,73.8,
ESTAT:STS_INPR_M(1.0),28/09/22 11:00:00,M,PROD,B-D,CA,I15,BE,2001-01,74.4,
ESTAT:STS_INPR_M(1.0),28/09/22 11:00:00,M,PROD,B-D,CA,I15,BE,2001-02,74.4,
ESTAT:STS_INPR_M(1.0),28/09/22 11:00:00,M,PROD,B-D,CA,I15,BE,2001-03,80.4,
ESTAT:STS_INPR_M(1.0),28/09/22 11:00:00,M,PROD,B-D,CA,I15,BE,2001-04,73.7,
ESTAT:STS_INPR_M(1.0),28/09/22 11:00:00,M,PROD,B-D,CA,I15,BE,2001-05,75.2,
