DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPR_M(1.0),24/09/22 11:00:00,M,PROD,B-D,SCA,I15,BE,2000-01,64.9,
ESTAT:STS_INPR_M(1.0),24/09/22 11:00:00,M,PROD,B-D,SCA,I15,BE,2000-02,67.6,
ESTAT:STS_INPR_M(1.0),24/09/22 11:00:00,M,PROD,B-D,SCA,I15,BE,2000-03,68.7,
ESTAT:STS_INPR_M(1.0),24/09/22 11:00:00,M,PROD,B-D,SCA,I15,BE,2000-04,71.2,
ESTAT:STS_INPR_M(1.0),24/09/22 11:00:00,M,PROD,B-D,SCA,I15,BE,2000-05,71.9,
ESTAT:STS_INPR_M(1.0),24/09/22 11:00:00,M,PROD,B-D,SCA,I15,BE,2000-06,71.0,
ESTAT:STS_INPR_M(1.0),24/09/22 11:00:00,M,PROD,B-D,SCA,I15,BE,2000-07,71.0,
ESTAT:STS_INPR_M(1.0),24/09/22 11:00:00,M,PROD,B-D,SCA,I15,BE,2000-08,73.0,
ESTAT:STS_INPR_M(1.0),24/09/22 11:00:00,M,PROD,B-D,SCA,I15,BE,2000-09,74.2,
ESTAT:STS_INPR_M(1.0),24/09/22 11:00:00,M,PROD,B-D,SCA,I15,BE,2000-10,74.4,
ESTAT:STS_INPR_M(1.0),24/09/22 11:00:00,M,PROD,B-D,SCA,I15,BE,2000-11,75.1,
ESTAT:STS_INPR_M(1.0),24/09/22 11:00:00,M,PROD,B-D,SCA,I15,BE,2000-12,75.3,
ESTAT:STS_INPR_M(1.0),24/09/22 11:00:00,M,PROD,B-D,SCA,I15,BE,2001-01,76.8,
ESTAT:STS_INPR_M(1.0),24/09/22 11:00:00,M,PROD,B-D,SCA,I15,BE,2001-02,76.2,
ESTAT:STS_INPR_M(1.0),24/09/22 11:00:00,M,PROD,B-D,SCA,I15,BE,2001-03,74.5,
ESTAT:STS_INPR_M(1.0),24/09/22 11:00:00,M,PROD,B-D,SCA,I15,BE,2001-04,73.1,
ESTAT:STS_INPR_M(1.0),24/09/22 11:00:00,M,PROD,B-D,SCA,I15,BE,2001-05,75.8,
